sentence1,sentence2,condition,label
"A man wearing blue jeans , a blue shirt , and a cowboy hat rides a brown horse on a field in front of spectators .","Two men sitting on horses one wearing a cowboy hat , the other in a baseball cap , with a big tree behind them .",The number of people involved.,4
Two asian females are doing a dance in native costume .,Three girls dancing in front of a couple of musicians .,The performance type.,3
Two asian females are doing a dance in native costume .,Three girls dancing in front of a couple of musicians .,The number of performers.,1
An Olympic cyclist with the number 9 from Espania riding down a dirt path .,A man in a yellow helmet riding his bike on a trail through the woods .,The number of persons.,5
An Olympic cyclist with the number 9 from Espania riding down a dirt path .,A man in a yellow helmet riding his bike on a trail through the woods .,The type of the vehicle.,5
A race car driver in a Yamaha bicycle is turning on a racetrack .,Number 75 motorcycle racer rides his red and black bike .,The racers' specialty.,4
A race car driver in a Yamaha bicycle is turning on a racetrack .,Number 75 motorcycle racer rides his red and black bike .,The setting.,3
A goalie blocking the goal with assistance from a teammate during a hockey game .,A hockey player in black and white collides with another player wearing blue .,The game being played.,5
A goalie blocking the goal with assistance from a teammate during a hockey game .,A hockey player in black and white collides with another player wearing blue .,The intention of the players.,1
The girl playing baseball is wearing blue and red on a baseball field .,Girls playing softball as one girl runs to a base and second girl reaches out her glove .,The gender.,5
The girl playing baseball is wearing blue and red on a baseball field .,Girls playing softball as one girl runs to a base and second girl reaches out her glove .,The sport.,1
The blond boy is wearing a red shirt and jumping off of a blue slide .,The boy wearing white is leaping from the swing .,The type of playground equipment.,4
The blond boy is wearing a red shirt and jumping off of a blue slide .,The boy wearing white is leaping from the swing .,The motion of the boy.,3
"A man on a white horse looks into the distance , as does a man in a red hat standing nearby .",A man in a black vest with gray jeans with a red side flag holding onto a horse while 2 men watches and 1 man keeps time .,The animal.,5
"A man on a white horse looks into the distance , as does a man in a red hat standing nearby .",A man in a black vest with gray jeans with a red side flag holding onto a horse while 2 men watches and 1 man keeps time .,The object that is red.,4
A cyclist riding on their front wheel on the asphalt .,A BMX biker in the air on his bike over stairs near a building .,The vehicle type.,3
A cyclist riding on their front wheel on the asphalt .,A BMX biker in the air on his bike over stairs near a building .,The bike's position.,1
people with equipment climbing up a snowy mountain,A person wearing a red jacket climbs a snowy hill .,The activity.,4
people with equipment climbing up a snowy mountain,A person wearing a red jacket climbs a snowy hill .,The number of people.,2
A man in a black t-shirt and jeans playing electric guitar and grooving to the music .,A long-haired man stands at a microphone playing a pink Hello Kitty guitar .,The instrument played.,5
A man in a black t-shirt and jeans playing electric guitar and grooving to the music .,A long-haired man stands at a microphone playing a pink Hello Kitty guitar .,The proximity to a microphone.,3
Little boys in red and blue uniforms playing soccer at the park .,A small boy wearing red runs towards a soccer ball .,The sport being played.,4
Little boys in red and blue uniforms playing soccer at the park .,A small boy wearing red runs towards a soccer ball .,The color of object.,2
"Two snowshoers are standing on a declining , snow-covered slope .","Two people , using ropes and clamps are climbing the sheer side of a mountain .",The number of people.,5
"Two snowshoers are standing on a declining , snow-covered slope .","Two people , using ropes and clamps are climbing the sheer side of a mountain .",The objects being used.,2
A man and woman carrying red shopping bags cross the street in front of a large stone building .,An intersection where many people are crossing the street that has black and white striped poles .,The nature of the place.,5
A man and woman carrying red shopping bags cross the street in front of a large stone building .,An intersection where many people are crossing the street that has black and white striped poles .,The number of people.,3
The skateboarder does a jump near a traffic cone .,A young man is jumping in the air with his skateboard .,The location.,4
The skateboarder does a jump near a traffic cone .,A young man is jumping in the air with his skateboard .,The position of the skateboard.,4
